,Job Code,Job Title,Job Family,Description
47,47-2152,"Plumbers, Pipefitters, and Steamfitters",Construction and Extraction Occupations,"Assemble, install, alter, and repair pipelines or pipe systems that carry water, steam, air, or other liquids or gases.  May install heating and cooling equipment and mechanical control systems.  Includes sprinklerfitters."
47,47-2161,Plasterers and Stucco Masons,Construction and Extraction Occupations,"Apply interior or exterior plaster, cement, stucco, or similar materials.  May also set ornamental plaster. "
47,47-2171,Reinforcing Iron and Rebar Workers,Construction and Extraction Occupations,"Position and secure steel bars or mesh in concrete forms in order to reinforce concrete.  Use a variety of fasteners, rod-bending machines, blowtorches, and hand tools.  Includes rod busters."
47,47-2181,Roofers,Construction and Extraction Occupations,"Cover roofs of structures with shingles, slate, asphalt, aluminum, wood, or related materials.  May spray roofs, sidings, and walls with material to bind, seal, insulate, or soundproof sections of structures. "
47,47-2211,Sheet Metal Workers,Construction and Extraction Occupations,"Fabricate, assemble, install, and repair sheet metal products and equipment, such as ducts, control boxes, drainpipes, and furnace casings.  Work may involve any of the following: setting up and operating fabricating machines to cut, bend, and straighten sheet metal; shaping metal over anvils, blocks, or forms using hammer; operating soldering and welding equipment to join sheet metal parts; or inspecting, assembling, and smoothing seams and joints of burred surfaces.  Includes sheet metal duct installers who install prefabricated sheet metal ducts used for heating, air conditioning, or other purposes."
47,47-2221,Structural Iron and Steel Workers,Construction and Extraction Occupations,"Raise, place, and unite iron or steel girders, columns, and other structural members to form completed structures or structural frameworks.  May erect metal storage tanks and assemble prefabricated metal buildings.  Excludes “Reinforcing Iron and Rebar Workers"" (47-2171)."
47,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",Construction and Extraction Occupations,"Help brickmasons, blockmasons, stonemasons, or tile and marble setters by performing duties requiring less skill.  Duties include using, supplying or holding materials or tools, and cleaning work area and equipment.  Construction laborers who do not primarily assist brickmasons, blockmasons, and stonemasons or tile and marble setters are classified under ""Construction Laborers"" (47-2061).  Apprentice workers are classified with the appropriate skilled construction trade occupation (47-2011 through 47-2231)."
47,47-3012,Helpers--Carpenters,Construction and Extraction Occupations,"Help carpenters by performing duties requiring less skill.  Duties include using, supplying or holding materials or tools, and cleaning work area and equipment.  Construction laborers who do not primarily assist carpenters are classified under ""Construction Laborers"" (47-2061).  Apprentice workers are classified with the appropriate skilled construction trade occupation (47-2011 through 47-2231)."
47,47-3013,Helpers--Electricians,Construction and Extraction Occupations,"Help electricians by performing duties requiring less skill.  Duties include using, supplying or holding materials or tools, and cleaning work area and equipment.  Construction laborers who do not primarily assist electricians are classified under ""Construction Laborers"" (47-2061).  Apprentice workers are classified with the appropriate skilled construction trade occupation (47-2011 through 47-2231)."
47,47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",Construction and Extraction Occupations,"Help plumbers, pipefitters, steamfitters, or pipelayers by performing duties requiring less skill.  Duties include using, supplying or holding materials or tools, and cleaning work area and equipment.  Construction laborers who do not primarily assist plumbers, pipefitters, steamfitters, or pipelayers are classified under ""Construction Laborers"" (47-2061).  Apprentice workers are classified with the appropriate skilled construction trade occupation (47-2011 through 47-2231)."
47,47-4011,Construction and Building Inspectors,Construction and Extraction Occupations,"Inspect structures using engineering skills to determine structural soundness and compliance with specifications, building codes, and other regulations.  Inspections may be general in nature or may be limited to a specific area, such as electrical systems or plumbing."
47,47-4041,Hazardous Materials Removal Workers,Construction and Extraction Occupations,"Identify, remove, pack, transport, or dispose of hazardous materials, including asbestos, lead-based paint, waste oil, fuel, transmission fluid, radioactive materials, or contaminated soil.  Specialized training and certification in hazardous materials handling or a confined entry permit are generally required.  May operate earth-moving equipment or trucks."
47,47-4051,Highway Maintenance Workers,Construction and Extraction Occupations,"Maintain highways, municipal and rural roads, airport runways, and rights-of-way.  Duties include patching broken or eroded pavement, repairing guard rails, highway markers, and snow fences.  May also mow or clear brush from along road or plow snow from roadway.  Excludes “Tree Trimmers and Pruners"" (37-3013)."
47,47-4061,Rail-Track Laying and Maintenance Equipment Operators,Construction and Extraction Occupations,"Lay, repair, and maintain track for standard or narrow-gauge railroad equipment used in regular railroad service or in plant yards, quarries, sand and gravel pits, and mines.  Includes ballast cleaning machine operators and railroad bed tamping machine operators."
47,47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,Construction and Extraction Occupations,"Clean and repair septic tanks, sewer lines, or drains.  May patch walls and partitions of tank, replace damaged drain tile, or repair breaks in underground piping."
47,47-5013,"Service Unit Operators, Oil, Gas, and Mining",Construction and Extraction Occupations,"Operate equipment to increase oil flow from producing wells or to remove stuck pipe, casing, tools, or other obstructions from drilling wells.  May also perform similar services in mining exploration operations.  Includes fishing-tool technicians."
47,47-5021,"Earth Drillers, Except Oil and Gas",Construction and Extraction Occupations,"Operate a variety of drills such as rotary, churn, and pneumatic to tap sub-surface water and salt deposits, to remove core samples during mineral exploration or soil testing, and to facilitate the use of explosives in mining or construction.  May use explosives.  Includes horizontal and earth boring machine operators."
47,47-5041,Continuous Mining Machine Operators,Construction and Extraction Occupations,"Operate self-propelled mining machines that rip coal, metal and nonmetal ores, rock, stone, or sand from the mine face and load it onto conveyors or into shuttle cars in a continuous operation."
47,47-5061,"Roof Bolters, Mining",Construction and Extraction Occupations,Operate machinery to install roof support bolts in underground mine.
47,47-5071,"Roustabouts, Oil and Gas",Construction and Extraction Occupations,Assemble or repair oil field equipment using hand and power tools.  Perform other tasks as needed.
47,47-5081,Helpers--Extraction Workers,Construction and Extraction Occupations,"Help extraction craft workers, such as earth drillers, blasters and explosives workers, derrick operators, and mining machine operators, by performing duties requiring less skill.  Duties include supplying equipment or cleaning work area.  Apprentice workers are classified with the appropriate skilled construction trade occupation (47-2011 through 47-2231)."
49,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers","Installation, Maintenance, and Repair Occupations","Directly supervise and coordinate the activities of mechanics, installers, and repairers.  Excludes team or work leaders."
49,49-2011,"Computer, Automated Teller, and Office Machine Repairers","Installation, Maintenance, and Repair Occupations","Repair, maintain, or install computers, word processing systems, automated teller machines, and electronic office machines, such as duplicating and fax machines."
49,49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers","Installation, Maintenance, and Repair Occupations","Repair, install or maintain mobile or stationary radio transmitting, broadcasting, and receiving equipment, and two-way radio communications systems used in cellular telecommunications, mobile broadband, ship-to-shore, aircraft-to-ground communications, and radio equipment in service and emergency vehicles.  May test and analyze network coverage."
49,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers","Installation, Maintenance, and Repair Occupations","Install, set-up, rearrange, or remove switching, distribution, routing, and dialing equipment used in central offices or headends.  Service or repair telephone, cable television, Internet, and other communications equipment on customers' property.  May install communications equipment or communications wiring in buildings.  Excludes “Telecommunications Line Installers and Repairers” (49-9052)."
49,49-2091,Avionics Technicians,"Installation, Maintenance, and Repair Occupations","Install, inspect, test, adjust, or repair avionics equipment, such as radar, radio, navigation, and missile control systems in aircraft or space vehicles."
49,49-2092,"Electric Motor, Power Tool, and Related Repairers","Installation, Maintenance, and Repair Occupations","Repair, maintain, or install electric motors, wiring, or switches."
49,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment","Installation, Maintenance, and Repair Occupations","Repair, test, adjust, or install electronic equipment, such as industrial controls, transmitters, and antennas.  Excludes “Avionics Technicians"" (49-2091), ""Electronic Equipment Installers and Repairers, Motor Vehicles"" (49-2096), and ""Electrical and Electronics Installers and Repairers, Transportation Equipment"" (49-2093)."
49,49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","Installation, Maintenance, and Repair Occupations","Inspect, test, repair, or maintain electrical equipment in generating stations, substations, and in-service relays."
49,49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles","Installation, Maintenance, and Repair Occupations","Install, diagnose, or repair communications, sound, security, or navigation equipment in motor vehicles."
49,49-2098,Security and Fire Alarm Systems Installers,"Installation, Maintenance, and Repair Occupations","Install, program, maintain, and repair security and fire alarm wiring and equipment.  Ensure that work is in accordance with relevant codes.  Excludes “Electricians"" (47-2111) who do a broad range of electrical wiring."
49,49-3011,Aircraft Mechanics and Service Technicians,"Installation, Maintenance, and Repair Occupations","Diagnose, adjust, repair, or overhaul aircraft engines and assemblies, such as hydraulic and pneumatic systems.  Includes helicopter and aircraft engine specialists.  Excludes “Avionics Technician"" (49-2091)."
49,49-3021,Automotive Body and Related Repairers,"Installation, Maintenance, and Repair Occupations","Repair and refinish automotive vehicle bodies and straighten vehicle frames.  Excludes “Painters, Transportation Equipment"" (51-9122) and ""Automotive Glass Installers and Repairers"" (49-3022)."
49,49-3022,Automotive Glass Installers and Repairers,"Installation, Maintenance, and Repair Occupations",Replace or repair broken windshields and window glass in motor vehicles.
49,49-3023,Automotive Service Technicians and Mechanics,"Installation, Maintenance, and Repair Occupations","Diagnose, adjust, repair, or overhaul automotive vehicles.  Excludes “Automotive Body and Related Repairers"" (49-3021), ""Bus and Truck Mechanics and Diesel Engine Specialists"" (49-3031), and ""Electronic Equipment Installers and Repairers, Motor Vehicles"" (49-2096)."
49,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,"Installation, Maintenance, and Repair Occupations","Diagnose, adjust, repair, or overhaul buses and trucks, or maintain and repair any type of diesel engines.  Includes mechanics working primarily with automobile or marine diesel engines."
49,49-3041,Farm Equipment Mechanics and Service Technicians,"Installation, Maintenance, and Repair Occupations","Diagnose, adjust, repair, or overhaul farm machinery and vehicles, such as tractors, harvesters, dairy equipment, and irrigation systems.  Excludes “Bus and Truck Mechanics and Diesel Engine Specialists"" (49-3031)."
49,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines","Installation, Maintenance, and Repair Occupations","Diagnose, adjust, repair, or overhaul mobile mechanical, hydraulic, and pneumatic equipment, such as cranes, bulldozers, graders, and conveyors, used in construction, logging, and surface mining.  Excludes “Rail Car Repairers"" (49-3043) and ""Bus and Truck Mechanics and Diesel Engine Specialists"" (49-3031)."
49,49-3051,Motorboat Mechanics and Service Technicians,"Installation, Maintenance, and Repair Occupations","Repair and adjust electrical and mechanical equipment of inboard or inboard-outboard boat engines.  Excludes “Bus and Truck Mechanics and Diesel Engine Specialists"" (49-3031)."
49,49-3052,Motorcycle Mechanics,"Installation, Maintenance, and Repair Occupations","Diagnose, adjust, repair, or overhaul motorcycles, scooters, mopeds, dirt bikes, or similar motorized vehicles."
49,49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,"Installation, Maintenance, and Repair Occupations","Diagnose, adjust, repair, or overhaul small engines used to power lawn mowers, chain saws, recreational sporting equipment and related equipment."
49,49-3091,Bicycle Repairers,"Installation, Maintenance, and Repair Occupations",Repair and service bicycles.
49,49-3092,Recreational Vehicle Service Technicians,"Installation, Maintenance, and Repair Occupations","Diagnose, inspect, adjust, repair, or overhaul recreational vehicles including travel trailers.  May specialize in maintaining gas, electrical, hydraulic, plumbing, or chassis/towing systems as well as repairing generators, appliances, and interior components.  Includes workers who perform customized van conversions.  Excludes “Automotive Service Technicians and Mechanics"" (49-3023) and ""Bus and Truck Mechanics and Diesel Engine Specialists"" (49-3031) who also work on recreation vehicles."
49,49-3093,Tire Repairers and Changers,"Installation, Maintenance, and Repair Occupations",Repair and replace tires.
49,49-9011,Mechanical Door Repairers,"Installation, Maintenance, and Repair Occupations","Install, service, or repair automatic door mechanisms and hydraulic doors.  Includes garage door mechanics."
49,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door","Installation, Maintenance, and Repair Occupations","Install, repair, and maintain mechanical regulating and controlling devices, such as electric meters, gas regulators, thermostats, safety and flow valves, and other mechanical governors."
49,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","Installation, Maintenance, and Repair Occupations","Install or repair heating, central air conditioning, or refrigeration systems, including oil burners, hot-air furnaces, and heating stoves."
49,49-9031,Home Appliance Repairers,"Installation, Maintenance, and Repair Occupations","Repair, adjust, or install all types of electric or gas household appliances, such as refrigerators, washers, dryers, and ovens."
49,49-9041,Industrial Machinery Mechanics,"Installation, Maintenance, and Repair Occupations","Repair, install, adjust, or maintain industrial production and processing machinery or refinery and pipeline distribution systems.  Excludes “Millwrights"" (49-9044), ""Mobile Heavy Equipment Mechanics, Except Engines"" (49-3042), and ""Maintenance Workers, Machinery"" (49-9043)."
49,49-9043,"Maintenance Workers, Machinery","Installation, Maintenance, and Repair Occupations","Lubricate machinery, change parts, or perform other routine machinery maintenance.  Excludes “Maintenance and Repair Workers, General"" (49-9071)."
49,49-9044,Millwrights,"Installation, Maintenance, and Repair Occupations","Install, dismantle, or move machinery and heavy equipment according to layout plans, blueprints, or other drawings."
49,49-9051,Electrical Power-Line Installers and Repairers,"Installation, Maintenance, and Repair Occupations","Install or repair cables or wires used in electrical power or distribution systems.  May erect poles and light or heavy duty transmission towers.  Excludes “Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"" (49-2095)."
49,49-9052,Telecommunications Line Installers and Repairers,"Installation, Maintenance, and Repair Occupations","Install and repair telecommunications cable, including fiber optics."
49,49-9061,Camera and Photographic Equipment Repairers,"Installation, Maintenance, and Repair Occupations","Repair and adjust cameras and photographic equipment, including commercial video and motion picture camera equipment."
49,49-9062,Medical Equipment Repairers,"Installation, Maintenance, and Repair Occupations","Test, adjust, or repair biomedical or electromedical equipment."
49,49-9063,Musical Instrument Repairers and Tuners,"Installation, Maintenance, and Repair Occupations","Repair percussion, stringed, reed, or wind instruments.  May specialize in one area, such as piano tuning.  Excludes “Electronic Home Entertainment Equipment Installers and Repairers"" (49-2097) who repair electrical and electronic musical instruments."
49,49-9064,Watch Repairers,"Installation, Maintenance, and Repair Occupations","Repair, clean, and adjust mechanisms of timing instruments, such as watches and clocks.  Includes watchmakers, watch technicians, and mechanical timepiece repairers."
49,49-9071,"Maintenance and Repair Workers, General","Installation, Maintenance, and Repair Occupations","Perform work involving the skills of two or more maintenance or craft occupations to keep machines, mechanical equipment, or the structure of an establishment in repair.  Duties may involve pipe fitting; boiler making; insulating; welding; machining; carpentry; repairing electrical or mechanical equipment; installing, aligning, and balancing new equipment; and repairing buildings, floors, or stairs.  Excludes “Maintenance Workers, Machinery"" (49-9043)."
49,49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers","Installation, Maintenance, and Repair Occupations","Install, service, adjust, or repair coin, vending, or amusement machines including video games, juke boxes, pinball machines, or slot machines."
49,49-9092,Commercial Divers,"Installation, Maintenance, and Repair Occupations","Work below surface of water, using scuba gear to inspect, repair, remove, or install equipment and structures.  May use a variety of power and hand tools, such as drills, sledgehammers, torches, and welding equipment.  May conduct tests or experiments, rig explosives, or photograph structures or marine life.  Excludes “Fishers and Related Fishing Workers"" (45-3011), ""Athletes and Sports Competitors"" (27-2021), and ""Police and Sheriff's Patrol Officers"" (33-3051)."
49,49-9094,Locksmiths and Safe Repairers,"Installation, Maintenance, and Repair Occupations",Repair and open locks; make keys; change locks and safe combinations; and install and repair safes.
49,49-9098,"Helpers--Installation, Maintenance, and Repair Workers","Installation, Maintenance, and Repair Occupations","Help installation, maintenance, and repair workers in maintenance, parts replacement, and repair of vehicles, industrial machinery, and electrical and electronic equipment.  Perform duties such as furnishing tools, materials, and supplies to other workers; cleaning work area, machines, and tools; and holding materials or tools for other workers."
51,51-1011,First-Line Supervisors of Production and Operating Workers,Production Occupations,"Directly supervise and coordinate the activities of production and operating workers, such as inspectors, precision workers, machine setters and operators, assemblers, fabricators, and plant and system operators.  Excludes team or work leaders."
51,51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Production Occupations,"Assemble, fit, fasten, and install parts of airplanes, space vehicles, or missiles, such as tails, wings, fuselage, bulkheads, stabilizers, landing gear, rigging and control equipment, or heating and ventilating systems."
51,51-2021,"Coil Winders, Tapers, and Finishers",Production Occupations,"Wind wire coils used in electrical components, such as resistors and transformers, and in electrical equipment and instruments, such as field cores, bobbins, armature cores, electrical motors, generators, and control equipment."
51,51-2031,Engine and Other Machine Assemblers,Production Occupations,"Construct, assemble, or rebuild machines, such as engines, turbines, and similar equipment used in such industries as construction, extraction, textiles, and paper manufacturing."
51,51-2041,Structural Metal Fabricators and Fitters,Production Occupations,"Fabricate, position, align, and fit parts of structural metal products. Shipfitters are included in “Layout Workers, Metal and Plastic” (51-4192)."
51,51-3011,Bakers,Production Occupations,"Mix and bake ingredients to produce breads, rolls, cookies, cakes, pies, pastries, or other baked goods.  Pastry chefs in restaurants and hotels are included with ""Chefs and Head Cooks"" (35-1011)."
51,51-3021,Butchers and Meat Cutters,Production Occupations,"Cut, trim, or prepare consumer-sized portions of meat for use or sale in retail establishments."
51,51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",Production Occupations,"Use hand or hand tools to perform routine cutting and trimming of meat, poultry, and seafood."
51,51-3023,Slaughterers and Meat Packers,Production Occupations,"Work in slaughtering, meat packing, or wholesale establishments performing precision functions involving the preparation of meat.  Work may include specialized slaughtering tasks, cutting standard or premium cuts of meat for marketing, making sausage, or wrapping meats.  Excludes “Meat, Poultry, and Fish Cutters and Trimmers"" (51-3022) who perform routine meat cutting."
51,51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Production Occupations,"Operate or tend food or tobacco roasting, baking, or drying equipment, including hearth ovens, kiln driers, roasters, char kilns, and vacuum drying equipment."
51,51-3092,Food Batchmakers,Production Occupations,Set up and operate equipment that mixes or blends ingredients used in the manufacturing of food products.  Includes candy makers and cheese makers.
51,51-3093,Food Cooking Machine Operators and Tenders,Production Occupations,"Operate or tend cooking equipment, such as steam cooking vats, deep fry cookers, pressure cookers, kettles, and boilers, to prepare food products.  Excludes “Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"" (51-3091)."
51,51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",Production Occupations,Operate computer-controlled machines or robots to perform one or more machine functions on metal or plastic work pieces.
51,51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",Production Occupations,"Develop programs to control machining or processing of metal or plastic parts by automatic machine tools, equipment, or systems."
51,51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Set up, operate, or tend machines to extrude or draw thermoplastic or metal materials into tubes, rods, hoses, wire, bars, or structural shapes."
51,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Set up, operate, or tend forging machines to taper, shape, or form metal or plastic parts."
51,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Set up, operate, or tend machines to roll steel or plastic forming bends, beads, knurls, rolls, or plate or to flatten, temper, or reduce gauge of material."
51,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Set up, operate, or tend machines to saw, cut, shear, slit, punch, crimp, notch, bend, or straighten metal or plastic material."
51,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Set up, operate, or tend drilling machines to drill, bore, ream, mill, or countersink metal or plastic work pieces."
51,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Set up, operate, or tend grinding and related tools that remove excess material or burrs from surfaces, sharpen edges or corners, or buff, hone, or polish metal or plastic work pieces."
51,51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Set up, operate, or tend lathe and turning machines to turn, bore, thread, form, or face metal or plastic materials, such as wire, rod, or bar stock."
51,51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Set up, operate, or tend milling or planing machines to mill, plane, shape, groove, or profile metal or plastic work pieces."
51,51-4041,Machinists,Production Occupations,"Set up and operate a variety of machine tools to produce precision parts and instruments.  Includes precision instrument makers who fabricate, modify, or repair mechanical instruments.  May also fabricate and modify parts to make or repair machine tools or maintain industrial machines, applying knowledge of mechanics, mathematics, metal properties, layout, and machining procedures."
51,51-4051,Metal-Refining Furnace Operators and Tenders,Production Occupations,"Operate or tend furnaces, such as gas, oil, coal, electric-arc or electric induction, open-hearth, or oxygen furnaces, to melt and refine metal before casting or to produce specified types of steel. Excludes “Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"" (51-4191)."
51,51-4052,"Pourers and Casters, Metal",Production Occupations,Operate hand-controlled mechanisms to pour and regulate the flow of molten metal into molds to produce castings or ingots.
51,51-4061,"Model Makers, Metal and Plastic",Production Occupations,"Set up and operate machines, such as lathes, milling and engraving machines, and jig borers to make working models of metal or plastic objects.  Includes template makers."
51,51-4062,"Patternmakers, Metal and Plastic",Production Occupations,"Lay out, machine, fit, and assemble castings and parts to metal or plastic foundry patterns, core boxes, or match plates."
51,51-4071,Foundry Mold and Coremakers,Production Occupations,Make or form wax or sand cores or molds used in the production of metal castings in foundries.
51,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Set up, operate, or tend metal or plastic molding, casting, or coremaking machines to mold or cast metal or thermoplastic parts or products."
51,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Set up, operate, or tend more than one type of cutting or forming machine tool or robot."
51,51-4111,Tool and Die Makers,Production Occupations,"Analyze specifications, lay out metal stock, set up and operate machine tools, and fit and assemble parts to make and repair dies, cutting tools, jigs, fixtures, gauges, and machinists' hand tools."
51,51-4121,"Welders, Cutters, Solderers, and Brazers",Production Occupations,"Use hand-welding, flame-cutting, hand soldering, or brazing equipment to weld or join metal components or to fill holes, indentations, or seams of fabricated metal products."
51,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Production Occupations,"Set up, operate, or tend welding, soldering, or brazing machines or robots that weld, braze, solder, or heat treat metal products, components, or assemblies.  Includes workers who operate laser cutters or laser-beam machines."
51,51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Set up, operate, or tend heating equipment, such as heat-treating furnaces, flame-hardening machines, induction machines, soaking pits, or vacuum equipment to temper, harden, anneal, or heat-treat metal or plastic objects."
51,51-4192,"Layout Workers, Metal and Plastic",Production Occupations,"Lay out reference points and dimensions on metal or plastic stock or workpieces, such as sheets, plates, tubes, structural shapes, castings, or machine parts, for further processing.  Includes shipfitters."
51,51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Set up, operate, or tend plating or coating machines to coat metal or plastic products with chromium, zinc, copper, cadmium, nickel, or other metal to protect or decorate surfaces.  Includes electrolytic processes."
51,51-4194,"Tool Grinders, Filers, and Sharpeners",Production Occupations,"Perform precision smoothing, sharpening, polishing, or grinding of metal objects."
51,51-5111,Prepress Technicians and Workers,Production Occupations,Format and proof text and images submitted by designers and clients into finished pages that can be printed.  Includes digital and photo typesetting.  May produce printing plates. 
51,51-6011,Laundry and Dry-Cleaning Workers,Production Occupations,"Operate or tend washing or dry-cleaning machines to wash or dry-clean industrial or household articles, such as cloth garments, suede, leather, furs, blankets, draperies, linens, rugs, and carpets.  Includes spotters and dyers of these articles."
51,51-6021,"Pressers, Textile, Garment, and Related Materials",Production Occupations,Press or shape articles by hand or machine.
51,51-6031,Sewing Machine Operators,Production Occupations,"Operate or tend sewing machines to join, reinforce, decorate, or perform related sewing operations in the manufacture of garment or nongarment products."
51,51-6092,Fabric and Apparel Patternmakers,Production Occupations,Draw and construct sets of precision master fabric patterns or layouts.  May also mark and cut fabrics and apparel.
51,51-6093,Upholsterers,Production Occupations,"Make, repair, or replace upholstery for household furniture or transportation vehicles."
51,51-7011,Cabinetmakers and Bench Carpenters,Production Occupations,"Cut, shape, and assemble wooden articles or set up and operate a variety of woodworking machines, such as power saws, jointers, and mortisers to surface, cut, or shape lumber or to fabricate parts for wood products.  Excludes “Woodworking Machine Setters, Operators, and Tenders"" (51-7040)."
51,51-7021,Furniture Finishers,Production Occupations,"Shape, finish, and refinish damaged, worn, or used furniture or new high-grade furniture to specified color or finish."
51,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",Production Occupations,"Set up, operate, or tend wood sawing machines.  May operate CNC equipment.  Includes lead sawyers."
51,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Production Occupations,"Set up, operate, or tend woodworking machines, such as drill presses, lathes, shapers, routers, sanders, planers, and wood nailing machines.  May operate CNC equipment."
51,51-8011,Nuclear Power Reactor Operators,Production Occupations,"Operate or control nuclear reactors.  Move control rods, start and stop equipment, monitor and adjust controls, and record data in logs.  Implement emergency procedures when needed.  May respond to abnormalities, determine cause, and recommend corrective action."
51,51-8012,Power Distributors and Dispatchers,Production Occupations,"Coordinate, regulate, or distribute electricity or steam."
51,51-8013,Power Plant Operators,Production Occupations,"Control, operate, or maintain machinery to generate electric power.  Includes auxiliary equipment operators.  Excludes “Nuclear Power Reactor Operators"" (51-8011)."
51,51-8021,Stationary Engineers and Boiler Operators,Production Occupations,"Operate or maintain stationary engines, boilers, or other mechanical equipment to provide utilities for buildings or industrial processes.  Operate equipment, such as steam engines, generators, motors, turbines, and steam boilers."
51,51-8031,Water and Wastewater Treatment Plant and System Operators,Production Occupations,"Operate or control an entire process or system of machines, often through the use of control boards, to transfer or treat water or wastewater."
51,51-8091,Chemical Plant and System Operators,Production Occupations,Control or operate entire chemical processes or system of machines.
51,51-9011,Chemical Equipment Operators and Tenders,Production Occupations,"Operate or tend equipment to control chemical changes or reactions in the processing of industrial or consumer products.  Equipment used includes devulcanizers, steam-jacketed kettles, and reactor vessels.  Excludes “Chemical Plant and System Operators"" (51-8091)."
51,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Production Occupations,"Set up, operate, or tend continuous flow or vat-type equipment; filter presses; shaker screens; centrifuges; condenser tubes; precipitating, fermenting, or evaporating tanks; scrubbing towers; or batch stills.  These machines extract, sort, or separate liquids, gases, or solids from other materials to recover a refined product.  Includes dairy processing equipment operators.  Excludes “Chemical Equipment Operators and Tenders"" (51-9011)."
51,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Production Occupations,"Set up, operate, or tend machines to crush, grind, or polish materials, such as coal, glass, grain, stone, food, or rubber."
51,51-9022,"Grinding and Polishing Workers, Hand",Production Occupations,"Grind, sand, or polish, using hand tools or hand-held power tools, a variety of metal, wood, stone, clay, plastic, or glass objects.  Includes chippers, buffers, and finishers."
51,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",Production Occupations,"Set up, operate, or tend machines to mix or blend materials, such as chemicals, tobacco, liquids, color pigments, or explosive ingredients.  Excludes “Food Batchmakers"" (51-3092)."
51,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",Production Occupations,"Set up, operate, or tend machines that cut or slice materials, such as glass, stone, cork, rubber, tobacco, food, paper, or insulating material.  Excludes “Woodworking Machine Setters, Operators, and Tenders"" (51-7040), ""Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"" (51-4031), and ""Textile Cutting Machine Setters, Operators, and Tenders"" (51-6062)."
51,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Production Occupations,"Set up, operate, or tend machines, such as glass forming machines, plodder machines, and tuber machines, to shape and form products, such as glassware, food, rubber, soap, brick, tile, clay, wax, tobacco, or cosmetics.  Excludes “Paper Goods Machine Setters, Operators, and Tenders"" (51-9196) and ""Shoe Machine Operators and Tenders"" (51-6042)."
51,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Production Occupations,"Operate or tend heating equipment other than basic metal, plastic, or food processing equipment.  Includes activities, such as annealing glass, drying lumber, curing rubber, removing moisture from materials, or boiling soap."
